file name,project number,index,character,number of ball
405489_1_160_1644,405489,1,C,56
405489_1_160_1644,405489,1,H,78
405489_1_160_1644,405489,1,A,59
405489_1_160_1644,405489,1,U,52
405489_1_160_1644,405489,1,M,87
405489_1_160_1644,405489,1,E,64
405489_1_160_1644,405489,1,T,53
