file name,project number,index,character,number of ball
407368_1_320_1450,407368,1,H,47
407368_1_320_1450,407368,1,A,49
407368_1_320_1450,407368,1,M,57
407368_1_320_1450,407368,1,A2,49
407368_1_320_1450,407368,1,M2,57
407368_1_320_1450,407368,1,A3,49
407368_1_320_1450,407368,1,T,46
407368_1_320_1450,407368,1,S,43
407368_1_320_1450,407368,1,U,43
