project number,character,number of ball
408417,P,120
408417,A,123
408417,T,168
408417,E,171
408417,K,172
408417, ,10
408417,H,172
408417,I,146
408417,L,153
408417,P2,133
408417,I2,133
408417,L2,168
408417,P3,203
408417,E2,203
408417,G,128
408417,E3,128
408417,N,128
408417,E4,200
408417,V,72
408417,E5,128
