file name,project number,index,character,number of ball
403981_1_135_1800,403981,1,武,22
403981_1_135_1800,403981,1,蔵,17
403981_1_135_1800,403981,1,野,17
403981_1_135_1800,403981,1,ア,10
403981_1_135_1800,403981,1,ト,6
403981_1_135_1800,403981,1,ラ,13
403981_1_135_1800,403981,1,ス,34
403981_1_135_1800,403981,1,タ,20
403981_1_135_1800,403981,1,ー,8
403981_1_135_1800,403981,1,ズ,14
403981_1_135_1800,403981,1,整,72
403981_1_135_1800,403981,1,形,23
403981_1_135_1800,403981,1,外,18
403981_1_135_1800,403981,1,科,15
403981_1_135_1800,403981,1,ス2,33
403981_1_135_1800,403981,1,ポ,58
403981_1_135_1800,403981,1,ー2,35
403981_1_135_1800,403981,1,ツ,18
403981_1_135_1800,403981,1,ク,36
403981_1_135_1800,403981,1,リ,15
403981_1_135_1800,403981,1,ニ,16
403981_1_135_1800,403981,1,ッ,12
403981_1_135_1800,403981,1,ク2,36
